test,used,usr,read,writ,acc,time
e1-b128,1347.62 +/- 2.81,84.53 +/- 0.26,110.78 +/- 4.80,251.94 +/- 9.61,0.61 +/- 0.06,10.17 +/- 0.13
e1-b256,1349.12 +/- 1.65,84.54 +/- 0.26,110.67 +/- 4.79,251.70 +/- 9.59,0.64 +/- 0.02,11.68 +/- 0.09
e1-b512,1349.71 +/- 1.75,84.55 +/- 0.26,110.55 +/- 4.78,252.12 +/- 10.61,0.56 +/- 0.15,15.31 +/- 0.12
e1-b1024,1349.38 +/- 1.85,84.56 +/- 0.26,110.39 +/- 4.77,251.78 +/- 10.59,0.62 +/- 0.13,22.70 +/- 0.09
e5-b128,1350.25 +/- 0.79,84.58 +/- 0.26,110.17 +/- 4.75,251.29 +/- 10.55,0.67 +/- 0.02,35.60 +/- 2.23
e5-b256,1350.41 +/- 1.00,84.61 +/- 0.25,109.84 +/- 4.72,250.56 +/- 10.49,0.64 +/- 0.04,34.84 +/- 0.22
e5-b512,1349.51 +/- 1.81,84.64 +/- 0.25,109.51 +/- 4.69,249.84 +/- 10.43,0.52 +/- 0.04,38.06 +/- 0.49
e5-b1024,1349.72 +/- 1.87,84.67 +/- 0.25,109.16 +/- 4.66,249.05 +/- 10.36,0.63 +/- 0.05,45.03 +/- 0.45
e10-b128,1449.74 +/- 110.60,89.59 +/- 5.35,54.38 +/- 59.64,126.81 +/- 133.08,0.71 +/- 0.04,65.14 +/- 2.07
e10-b256,1458.05 +/- 118.87,89.53 +/- 5.23,54.09 +/- 59.32,125.64 +/- 132.95,0.59 +/- 0.04,64.70 +/- 1.10
e10-b512,1474.74 +/- 140.43,89.57 +/- 5.22,53.80 +/- 59.01,125.14 +/- 132.10,0.61 +/- 0.06,66.15 +/- 0.67
e10-b1024,1506.05 +/- 181.24,89.49 +/- 5.07,53.51 +/- 58.69,124.68 +/- 131.19,0.70 +/- 0.04,73.73 +/- 1.64
