"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","barreira"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-13_18:35:03.csv 60",,,,"Date:","13 Jun 2019 18:35:04 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
13-06 18:35:04,528375808.0,167936.0,2602352640.0,823287808.0,36.979,1.528,61.448,0.013,0.0,0.032,0.0,0.0,30369.894,252662.458
13-06 18:36:04,1076318208.0,167936.0,2628915200.0,248782848.0,79.965,3.270,16.699,0.008,0.0,0.059,33.0,175.800,0.0,445943.467
13-06 18:37:04,1112969216.0,167936.0,2655039488.0,186007552.0,76.953,2.587,20.410,0.0,0.0,0.050,32.500,117.633,0.0,3908.267
13-06 18:38:04,1114996736.0,167936.0,2655043584.0,183975936.0,82.553,3.024,14.381,0.0,0.0,0.042,3.300,11.500,0.0,443699.200
13-06 18:39:04,1133531136.0,167936.0,2681065472.0,139419648.0,72.582,2.261,25.090,0.008,0.0,0.059,37.500,202.833,0.0,5137.067
13-06 18:40:04,1133690880.0,167936.0,2681065472.0,139259904.0,82.364,3.159,14.444,0.0,0.0,0.034,3.300,11.500,0.0,439048.533
13-06 18:41:04,1146642432.0,167936.0,2671521792.0,135852032.0,67.327,2.627,30.004,0.0,0.0,0.042,28.600,96.600,0.0,785.067
13-06 18:42:04,1146609664.0,167936.0,2671521792.0,135884800.0,82.437,3.025,14.496,0.0,0.0,0.042,3.300,11.500,0.0,441216.0
13-06 18:43:04,1155911680.0,167936.0,2662121472.0,135983104.0,62.009,2.507,35.434,0.008,0.0,0.042,27.500,94.367,0.0,431232.0
13-06 18:44:04,1156038656.0,167936.0,2662121472.0,135856128.0,82.016,3.112,14.838,0.0,0.0,0.034,3.300,11.500,0.0,441062.400
13-06 18:45:04,1157173248.0,167936.0,2662129664.0,134713344.0,66.307,1.706,31.962,0.0,0.0,0.025,6.600,29.800,0.0,1715.200
13-06 18:46:04,1169059840.0,167936.0,2592460800.0,192495616.0,73.967,3.151,22.815,0.008,0.0,0.059,30.700,185.833,0.0,871577.600
13-06 18:47:04,1169154048.0,167936.0,2592460800.0,192401408.0,74.619,2.771,22.577,0.008,0.0,0.025,5.500,21.967,0.0,431419.733
13-06 18:48:04,1184931840.0,167936.0,2592714752.0,176369664.0,60.007,1.620,38.331,0.008,0.0,0.033,24.200,80.067,0.0,1800.533
13-06 18:49:04,1185775616.0,167936.0,2592714752.0,175525888.0,81.472,3.520,14.967,0.0,0.0,0.042,3.300,11.500,0.0,442461.867
13-06 18:50:04,1186758656.0,167936.0,2592718848.0,174538752.0,58.139,0.868,40.968,0.0,0.0,0.025,6.500,22.967,0.0,431641.600
13-06 18:51:04,1201053696.0,167936.0,2592968704.0,159993856.0,74.376,2.628,22.962,0.0,0.0,0.033,25.300,84.433,0.0,440763.733
13-06 18:52:04,1200197632.0,167936.0,2592968704.0,160849920.0,77.507,2.565,19.878,0.008,0.0,0.042,6.500,22.967,0.0,431411.200
13-06 18:53:04,1211850752.0,167936.0,2593230848.0,148934656.0,50.930,0.250,48.787,0.0,0.0,0.033,30.900,86.767,0.0,3310.933
13-06 18:54:04,1211990016.0,167936.0,2593234944.0,148791296.0,82.405,3.050,14.520,0.0,0.0,0.025,3.300,11.500,0.0,442461.867
13-06 18:55:04,1214275584.0,167936.0,2593234944.0,146505728.0,68.562,1.887,29.518,0.0,0.0,0.033,5.500,21.967,0.0,1774.933
13-06 18:56:04,1226219520.0,167936.0,2593484800.0,134311936.0,54.555,0.759,44.644,0.0,0.0,0.042,25.300,153.933,0.0,431564.800
13-06 18:57:04,1226153984.0,167936.0,2593484800.0,134377472.0,82.290,3.113,14.563,0.008,0.0,0.025,3.300,11.500,0.0,441540.267
13-06 18:58:04,1226145792.0,167936.0,2593488896.0,134381568.0,63.923,1.454,34.598,0.0,0.0,0.025,5.500,21.967,0.0,430131.200
