"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","g02-05.lsd.di.uminho.pt",,,,"User:","admin"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-15_14:55:33.csv 60",,,,"Date:","15 Jun 2019 14:55:34 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
15-06 14:55:34,608235520.0,0.0,2623901696.0,741490688.0,0.285,0.015,99.679,0.020,0.0,0.001,0.0,0.0,1388.436,7331.786
15-06 14:56:34,1124560896.0,0.0,2650460160.0,198606848.0,84.333,0.916,14.626,0.0,0.0,0.125,26.0,0.0,0.0,445917.867
15-06 14:57:34,1126735872.0,0.0,2650460160.0,196431872.0,91.840,0.275,7.777,0.0,0.0,0.108,27.400,0.0,0.0,2048.0
15-06 14:58:34,1126735872.0,0.0,2650460160.0,196431872.0,91.636,0.267,7.955,0.0,0.0,0.142,26.0,0.0,0.0,102.400
15-06 14:59:34,1126735872.0,0.0,2650460160.0,196431872.0,91.638,0.275,7.970,0.0,0.0,0.117,26.0,0.0,0.0,128.0
15-06 15:00:34,1126735872.0,0.0,2650460160.0,196431872.0,91.692,0.250,7.950,0.0,0.0,0.108,26.0,0.0,0.0,520.533
15-06 15:01:34,1127608320.0,0.0,2650460160.0,195559424.0,91.644,0.309,7.939,0.0,0.0,0.108,26.0,0.0,0.0,4027.733
15-06 15:02:34,1163984896.0,0.0,2676584448.0,133058560.0,79.795,0.317,19.772,0.0,0.0,0.117,32.400,7.800,0.0,7159.467
15-06 15:03:34,1163984896.0,0.0,2676584448.0,133058560.0,91.663,0.258,7.953,0.0,0.0,0.125,28.200,2.200,0.0,439500.800
15-06 15:04:34,1163984896.0,0.0,2676584448.0,133058560.0,91.562,0.258,8.029,0.0,0.0,0.150,26.0,0.0,0.0,102.400
