"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","g02-01.lsd.di.uminho.pt",,,,"User:","admin"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-11_19:13:08.csv 60",,,,"Date:","11 Jun 2019 19:13:09 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
11-06 19:13:09,268873728.0,2138112.0,2676330496.0,1026285568.0,0.796,0.011,99.186,0.007,0.0,0.001,0.0,0.0,272.698,1730.817
11-06 19:14:09,793182208.0,2138112.0,2702893056.0,475414528.0,84.783,0.842,14.283,0.0,0.0,0.092,26.0,0.0,0.0,446011.733
11-06 19:15:09,794861568.0,2138112.0,2702893056.0,473735168.0,91.878,0.292,7.738,0.0,0.0,0.092,26.0,0.0,0.0,1629.867
11-06 19:16:09,800968704.0,2138112.0,2702893056.0,467628032.0,91.884,0.259,7.758,0.008,0.0,0.092,31.800,4.400,0.0,102.400
11-06 19:17:09,803659776.0,2138112.0,2702893056.0,464936960.0,91.834,0.342,7.733,0.0,0.0,0.092,32.400,7.800,0.0,196.267
11-06 19:18:09,803532800.0,2138112.0,2702893056.0,465063936.0,91.856,0.284,7.776,0.0,0.0,0.083,26.0,0.0,0.0,2756.267
11-06 19:19:09,803659776.0,2138112.0,2702893056.0,464936960.0,91.910,0.259,7.731,0.008,0.0,0.092,26.0,0.0,0.0,102.400
11-06 19:20:09,836739072.0,2138112.0,2729017344.0,405733376.0,78.774,0.317,20.801,0.0,0.0,0.108,26.0,0.0,0.0,442982.400
11-06 19:21:09,836739072.0,2138112.0,2729017344.0,405733376.0,89.251,0.317,10.290,0.008,0.0,0.134,28.200,2.200,0.0,1356.800
11-06 19:22:09,839925760.0,2138112.0,2729017344.0,402546688.0,91.276,0.301,8.306,0.0,0.0,0.117,26.0,0.0,0.0,102.400
11-06 19:23:09,842022912.0,2138112.0,2729017344.0,400449536.0,91.673,0.292,7.927,0.008,0.0,0.100,28.200,2.200,0.0,102.400
11-06 19:24:09,842215424.0,2138112.0,2729017344.0,400257024.0,91.797,0.292,7.810,0.0,0.0,0.100,27.400,0.0,0.0,102.400
11-06 19:25:09,842215424.0,2138112.0,2729017344.0,400257024.0,91.542,0.259,8.074,0.008,0.0,0.117,26.0,0.0,0.0,537.600
11-06 19:26:09,842153984.0,2138112.0,2754793472.0,374542336.0,77.521,0.158,22.237,0.008,0.0,0.075,26.0,0.0,0.0,187.733
11-06 19:27:09,867934208.0,2138112.0,2755043328.0,348512256.0,85.547,0.384,13.943,0.008,0.0,0.117,26.0,0.0,0.0,441105.067
11-06 19:28:09,867950592.0,2138112.0,2755043328.0,348495872.0,90.673,0.250,8.960,0.008,0.0,0.108,26.0,0.0,0.0,1211.733
11-06 19:29:09,871067648.0,2138112.0,2755043328.0,345378816.0,91.831,0.284,7.760,0.0,0.0,0.125,27.400,0.0,0.0,102.400
11-06 19:30:09,871014400.0,2138112.0,2755043328.0,345432064.0,91.800,0.300,7.766,0.008,0.0,0.125,26.0,0.0,0.0,102.400
11-06 19:31:09,870952960.0,2138112.0,2755043328.0,345493504.0,91.897,0.250,7.719,0.0,0.0,0.134,27.400,0.0,0.0,119.467
11-06 19:32:09,871079936.0,2138112.0,2755043328.0,345366528.0,91.801,0.259,7.807,0.008,0.0,0.125,26.0,0.0,0.0,520.533
11-06 19:33:09,884740096.0,2138112.0,2781069312.0,305680384.0,62.970,0.225,36.746,0.0,0.0,0.058,30.400,4.400,0.0,430139.733
11-06 19:34:09,885669888.0,2138112.0,2781069312.0,304750592.0,91.822,0.275,7.769,0.0,0.0,0.134,26.0,0.0,0.0,442444.800
11-06 19:35:09,885669888.0,2138112.0,2781069312.0,304750592.0,91.997,0.226,7.769,0.0,0.0,0.008,26.0,0.0,0.0,102.400
11-06 19:36:09,887709696.0,2138112.0,2781069312.0,302710784.0,91.834,0.284,7.774,0.0,0.0,0.108,26.0,0.0,0.0,102.400
11-06 19:37:09,887582720.0,2138112.0,2781069312.0,302837760.0,91.820,0.292,7.779,0.0,0.0,0.109,26.0,0.0,0.0,102.400
11-06 19:38:09,887566336.0,2138112.0,2781069312.0,302854144.0,91.837,0.300,7.738,0.008,0.0,0.117,28.200,2.200,0.0,537.600
11-06 19:39:09,887906304.0,2138112.0,2806845440.0,276738048.0,82.447,0.259,17.211,0.0,0.0,0.083,27.400,0.0,0.0,85.333
11-06 19:40:09,906473472.0,2138112.0,2807095296.0,257921024.0,63.525,0.200,36.217,0.0,0.0,0.058,28.200,2.200,0.0,870109.867
11-06 19:41:09,907362304.0,2138112.0,2807095296.0,257032192.0,91.840,0.309,7.742,0.0,0.0,0.108,32.400,7.800,0.0,1288.533
11-06 19:42:09,907362304.0,2138112.0,2807095296.0,257032192.0,91.797,0.292,7.785,0.008,0.0,0.117,26.0,0.0,0.0,1254.400
11-06 19:43:09,907362304.0,2138112.0,2807095296.0,257032192.0,91.830,0.300,7.753,0.0,0.0,0.117,26.0,0.0,0.0,375.467
11-06 19:44:09,909647872.0,2138112.0,2807099392.0,254742528.0,91.817,0.292,7.791,0.0,0.0,0.100,26.0,0.0,0.0,179.200
11-06 19:45:09,909520896.0,2138112.0,2807099392.0,254869504.0,91.890,0.259,7.735,0.0,0.0,0.117,26.0,0.0,0.0,546.133
11-06 19:46:09,907485184.0,2138112.0,2807099392.0,256905216.0,76.141,0.217,23.567,0.0,0.0,0.075,26.0,0.0,0.0,429841.067
