"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","barreira"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-13_15:37:29.csv 60",,,,"Date:","13 Jun 2019 15:37:29 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
13-06 15:37:29,417947648.0,2158592.0,2625949696.0,908128256.0,28.100,1.206,70.647,0.016,0.0,0.031,0.0,0.0,40318.469,219194.001
13-06 15:38:29,951197696.0,2158592.0,2652512256.0,348315648.0,70.996,4.511,24.409,0.008,0.0,0.076,39.733,233.900,0.0,877747.200
13-06 15:39:29,977096704.0,2158592.0,2678636544.0,296292352.0,71.423,3.896,24.615,0.008,0.0,0.059,41.533,126.067,0.0,873984.0
13-06 15:40:29,1004711936.0,2158592.0,2704662528.0,242651136.0,67.669,3.232,29.040,0.0,0.0,0.059,35.433,170.867,0.0,5742.933
13-06 15:41:29,1005199360.0,2158592.0,2730434560.0,216391680.0,68.719,2.936,28.312,0.0,0.0,0.033,13.433,28.033,0.0,437683.200
13-06 15:42:29,1021546496.0,2158592.0,2730692608.0,199786496.0,69.575,4.098,26.243,0.008,0.0,0.076,32.133,86.0,0.0,441301.333
13-06 15:43:29,1037217792.0,2158592.0,2756714496.0,158093312.0,60.157,2.480,37.313,0.0,0.0,0.050,34.333,96.600,0.0,6007.467
13-06 15:44:29,1038258176.0,2158592.0,2756722688.0,157044736.0,72.812,3.950,23.197,0.008,0.0,0.033,14.533,35.867,0.0,437947.733
13-06 15:45:29,1054552064.0,2158592.0,2756972544.0,140500992.0,61.843,2.105,36.010,0.0,0.0,0.042,32.133,86.133,0.0,432128.0
13-06 15:46:29,1054519296.0,2158592.0,2756976640.0,140529664.0,64.524,2.599,32.843,0.0,0.0,0.033,17.933,28.667,0.0,441966.933
13-06 15:47:29,1070657536.0,167936.0,2727124992.0,156233728.0,65.040,3.699,31.194,0.008,0.0,0.059,33.233,160.400,0.0,874368.0
13-06 15:48:29,1070436352.0,167936.0,2727129088.0,156450816.0,60.627,2.516,36.816,0.017,0.0,0.025,11.233,21.967,0.0,1143.467
13-06 15:49:29,1079595008.0,167936.0,2727378944.0,147042304.0,64.002,2.667,33.280,0.0,0.0,0.050,32.133,86.133,0.0,432401.067
13-06 15:50:29,1078743040.0,167936.0,2727378944.0,147894272.0,63.128,2.495,34.335,0.0,0.0,0.042,11.233,21.967,0.0,441608.533
13-06 15:51:29,1090994176.0,167936.0,2727636992.0,135385088.0,57.529,1.428,41.001,0.0,0.0,0.042,29.933,80.067,0.0,431692.800
13-06 15:52:29,1092354048.0,167936.0,2727641088.0,134021120.0,69.554,3.577,26.835,0.0,0.0,0.034,13.433,28.033,0.0,441301.333
13-06 15:53:29,1092640768.0,167936.0,2727641088.0,133734400.0,49.912,0.067,50.004,0.0,0.0,0.017,7.833,6.433,0.0,432964.267
13-06 15:54:29,1102360576.0,167936.0,2656419840.0,195235840.0,73.209,4.884,21.806,0.008,0.0,0.092,36.533,189.333,0.0,440669.867
13-06 15:55:29,1104449536.0,167936.0,2656423936.0,193142784.0,52.924,1.085,45.975,0.0,0.0,0.017,9.033,15.900,0.0,431880.533
