test,used,usr,read,writ,acc,time
e1-b128,496.94 +/- 411.50,15.55 +/- 24.95,166.54 +/- 164.15,227.15 +/- 363.67,0.94 +/- 0.00,3.61 +/- 0.61
e1-b256,495.28 +/- 384.85,15.79 +/- 24.73,479.98 +/- 705.56,227.15 +/- 363.32,0.93 +/- 0.00,3.09 +/- 0.78
e1-b512,526.47 +/- 439.45,15.97 +/- 24.58,475.36 +/- 697.61,227.06 +/- 363.41,0.92 +/- 0.00,2.30 +/- 0.15
e1-b1024,526.37 +/- 439.77,16.14 +/- 24.44,471.11 +/- 690.30,226.90 +/- 363.38,0.90 +/- 0.00,2.04 +/- 0.07
e5-b128,526.31 +/- 439.86,16.30 +/- 24.32,467.00 +/- 683.22,226.76 +/- 363.39,0.97 +/- 0.00,9.57 +/- 0.31
e5-b256,526.49 +/- 439.80,16.80 +/- 23.93,456.31 +/- 664.84,232.95 +/- 358.15,0.97 +/- 0.00,6.80 +/- 0.08
e5-b512,526.74 +/- 439.14,17.17 +/- 23.66,448.67 +/- 651.71,232.58 +/- 358.21,0.96 +/- 0.00,5.27 +/- 0.10
e5-b1024,526.88 +/- 439.41,17.47 +/- 23.45,442.52 +/- 641.13,232.28 +/- 358.26,0.95 +/- 0.00,4.54 +/- 0.12
e10-b128,526.91 +/- 439.45,17.75 +/- 23.26,437.10 +/- 631.82,232.01 +/- 358.30,0.98 +/- 0.00,17.51 +/- 0.43
e10-b256,526.39 +/- 439.06,18.51 +/- 22.78,421.97 +/- 605.81,231.34 +/- 358.33,0.98 +/- 0.00,12.93 +/- 0.58
e10-b512,526.57 +/- 439.42,19.08 +/- 22.45,410.69 +/- 586.44,230.86 +/- 358.33,0.97 +/- 0.00,9.55 +/- 0.26
e10-b1024,526.46 +/- 440.29,19.51 +/- 22.23,402.66 +/- 572.65,230.42 +/- 358.37,0.97 +/- 0.00,8.33 +/- 0.93
