"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","g02-05.lsd.di.uminho.pt",,,,"User:","admin"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-17_14:25:06.csv 60",,,,"Date:","17 Jun 2019 14:25:07 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
17-06 14:25:07,459612160.0,0.0,2307780608.0,1206235136.0,1.714,0.129,98.124,0.031,0.0,0.002,0.0,0.0,2011.264,13985.713
17-06 14:26:07,906334208.0,0.0,2307784704.0,759508992.0,73.116,3.548,23.311,0.0,0.0,0.025,26.0,0.0,0.0,1826.133
17-06 14:27:07,892915712.0,0.0,2307784704.0,772927488.0,93.514,4.444,2.034,0.0,0.0,0.008,26.0,0.0,0.0,938.667
17-06 14:28:07,883978240.0,0.0,2307784704.0,781864960.0,93.423,4.610,1.959,0.0,0.0,0.008,26.0,0.0,0.0,102.400
17-06 14:29:07,917127168.0,0.0,2307784704.0,748716032.0,93.588,4.252,2.160,0.0,0.0,0.0,28.200,2.200,0.0,102.400
17-06 14:30:07,909508608.0,0.0,2307784704.0,756334592.0,93.339,4.552,2.109,0.0,0.0,0.0,27.400,0.0,0.0,102.400
17-06 14:31:07,911777792.0,0.0,2307784704.0,754065408.0,91.080,5.669,3.251,0.0,0.0,0.0,28.200,2.200,0.0,102.400
17-06 14:32:07,915206144.0,0.0,2307784704.0,750637056.0,90.762,5.803,3.435,0.0,0.0,0.0,28.200,2.200,0.0,102.400
17-06 14:33:07,918126592.0,0.0,2307784704.0,747716608.0,91.539,5.460,3.001,0.0,0.0,0.0,27.400,0.0,0.0,102.400
17-06 14:34:07,919539712.0,0.0,2307784704.0,746303488.0,92.147,4.768,3.076,0.0,0.0,0.008,27.400,0.0,0.0,102.400
17-06 14:35:07,921063424.0,0.0,2307784704.0,744779776.0,90.737,5.978,3.285,0.0,0.0,0.0,26.0,0.0,0.0,102.400
17-06 14:36:07,923983872.0,0.0,2307784704.0,741859328.0,91.022,5.760,3.218,0.0,0.0,0.0,32.400,7.800,0.0,187.733
17-06 14:37:07,925761536.0,0.0,2307784704.0,740081664.0,90.763,5.911,3.326,0.0,0.0,0.0,27.400,0.0,0.0,2628.267
17-06 14:38:07,927666176.0,0.0,2307784704.0,738177024.0,90.613,5.902,3.485,0.0,0.0,0.0,26.0,0.0,0.0,102.400
17-06 14:39:07,929808384.0,0.0,2307784704.0,736034816.0,91.136,5.545,3.319,0.0,0.0,0.0,28.200,2.200,0.0,102.400
17-06 14:40:07,931840000.0,0.0,2307784704.0,734003200.0,92.206,4.777,3.018,0.0,0.0,0.0,26.0,0.0,0.0,102.400
17-06 14:41:07,933617664.0,0.0,2307784704.0,732225536.0,90.438,6.053,3.510,0.0,0.0,0.0,26.0,0.0,0.0,102.400
17-06 14:42:07,935792640.0,0.0,2307784704.0,730050560.0,90.995,5.619,3.385,0.0,0.0,0.0,26.0,0.0,0.0,102.400
17-06 14:43:07,937951232.0,0.0,2307784704.0,727891968.0,90.988,5.652,3.360,0.0,0.0,0.0,26.0,0.0,0.0,102.400
17-06 14:44:07,940109824.0,0.0,2307784704.0,725733376.0,90.813,5.869,3.318,0.0,0.0,0.0,26.0,0.0,0.0,102.400
17-06 14:45:07,942268416.0,0.0,2307784704.0,723574784.0,90.770,5.770,3.460,0.0,0.0,0.0,26.0,0.0,0.0,102.400
17-06 14:46:07,944300032.0,0.0,2307784704.0,721543168.0,92.021,4.844,3.135,0.0,0.0,0.0,26.0,0.0,0.0,102.400
17-06 14:47:07,945274880.0,0.0,2307784704.0,720568320.0,90.564,5.868,3.568,0.0,0.0,0.0,28.200,2.200,0.0,102.400
17-06 14:48:07,948727808.0,0.0,2307784704.0,717115392.0,90.462,5.836,3.702,0.0,0.0,0.0,28.200,2.200,0.0,1220.267
17-06 14:49:07,950886400.0,0.0,2307784704.0,714956800.0,90.580,5.860,3.551,0.0,0.0,0.008,28.200,2.200,0.0,102.400
17-06 14:50:07,953061376.0,0.0,2307784704.0,712781824.0,90.096,6.153,3.752,0.0,0.0,0.0,26.0,0.0,0.0,102.400
17-06 14:51:07,955219968.0,0.0,2307784704.0,710623232.0,90.886,5.703,3.410,0.0,0.0,0.0,26.0,0.0,0.0,102.400
17-06 14:52:07,957227008.0,0.0,2307784704.0,708616192.0,92.022,5.027,2.951,0.0,0.0,0.0,26.0,0.0,0.0,102.400
17-06 14:53:07,958775296.0,0.0,2307784704.0,707067904.0,91.638,5.269,3.093,0.0,0.0,0.0,27.400,0.0,0.0,102.400
17-06 14:54:07,960933888.0,0.0,2307784704.0,704909312.0,90.605,5.952,3.443,0.0,0.0,0.0,26.0,0.0,0.0,102.400
17-06 14:55:07,963203072.0,0.0,2307784704.0,702640128.0,90.895,5.753,3.352,0.0,0.0,0.0,27.400,0.0,0.0,102.400
17-06 14:56:07,965234688.0,0.0,2307784704.0,700608512.0,90.713,5.744,3.543,0.0,0.0,0.0,26.0,0.0,0.0,102.400
17-06 14:57:07,967520256.0,0.0,2307784704.0,698322944.0,90.446,5.852,3.693,0.0,0.0,0.008,28.200,2.200,0.0,878.933
17-06 14:58:07,970194944.0,0.0,2307792896.0,695640064.0,91.038,5.677,3.285,0.0,0.0,0.0,32.400,7.800,0.0,640.0
