test,used,usr,read,writ,acc,time
e1-b128,905.76 +/- 262.68,57.44 +/- 20.14,18.17 +/- 34.98,298.66 +/- 292.73,0.86 +/- 0.00,145.08 +/- 6.38
e1-b256,816.39 +/- 300.72,54.02 +/- 25.00,26.97 +/- 40.23,517.48 +/- 296.74,0.83 +/- 0.02,107.93 +/- 3.84
e1-b512,817.86 +/- 301.34,55.43 +/- 26.32,26.76 +/- 39.83,659.83 +/- 335.93,0.74 +/- 0.02,84.62 +/- 12.03
e1-b1024,821.26 +/- 303.15,60.07 +/- 31.10,26.60 +/- 39.55,517.08 +/- 294.42,0.61 +/- 0.06,68.39 +/- 3.14
e5-b128,1091.30 +/- 156.69,66.22 +/- 11.84,5.59 +/- 19.69,326.50 +/- 282.43,0.90 +/- 0.00,823.77 +/- 22.76
e5-b256,1216.03 +/- 334.23,70.65 +/- 14.13,5.38 +/- 19.02,346.07 +/- 236.44,0.90 +/- 0.00,547.19 +/- 16.23
e5-b512,1228.07 +/- 322.41,73.10 +/- 15.66,6.27 +/- 19.61,402.56 +/- 239.74,0.87 +/- 0.03,459.77 +/- 7.63
e5-b1024,1242.04 +/- 336.95,77.76 +/- 17.72,7.74 +/- 20.13,536.36 +/- 313.81,0.87 +/- 0.03,403.54 +/- 10.47
e10-b128,1276.58 +/- 224.64,64.00 +/- 11.18,10.26 +/- 94.08,252.75 +/- 263.56,0.91 +/- 0.00,2144.22 +/- 129.24
e10-b256,1359.04 +/- 228.35,69.30 +/- 11.35,8.16 +/- 46.80,327.35 +/- 243.27,0.91 +/- 0.00,1393.91 +/- 54.44
e10-b512,1344.43 +/- 229.95,72.65 +/- 11.65,3.16 +/- 12.62,381.47 +/- 224.83,0.88 +/- 0.04,1091.44 +/- 19.85
e10-b1024,1344.23 +/- 238.60,78.43 +/- 12.36,2.48 +/- 10.58,483.53 +/- 270.47,0.89 +/- 0.01,861.51 +/- 62.95
