"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","barreira"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-13_17:36:22.csv 60",,,,"Date:","13 Jun 2019 17:36:23 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
13-06 17:36:23,532664320.0,167936.0,2518388736.0,902963200.0,31.996,1.353,66.605,0.015,0.0,0.031,0.0,0.0,34918.860,240174.900
13-06 17:37:23,1079005184.0,167936.0,2544947200.0,330063872.0,78.868,3.334,17.749,0.0,0.0,0.050,35.200,281.467,0.0,446242.133
13-06 17:38:23,1112453120.0,167936.0,2571071488.0,270491648.0,75.680,2.822,21.430,0.008,0.0,0.059,32.500,117.767,0.0,6835.200
13-06 17:39:23,1117089792.0,167936.0,2596847616.0,240078848.0,79.119,3.145,17.711,0.0,0.0,0.025,7.700,28.033,0.0,439859.200
13-06 17:40:23,1134694400.0,167936.0,2597097472.0,222224384.0,73.268,2.675,24.006,0.0,0.0,0.050,26.400,86.133,0.0,441898.667
13-06 17:41:23,1138642944.0,167936.0,2622869504.0,192503808.0,68.492,2.076,29.382,0.008,0.0,0.042,14.300,46.233,0.0,431539.200
13-06 17:42:23,1149091840.0,167936.0,2623123456.0,181800960.0,80.0,3.459,16.507,0.0,0.0,0.034,20.900,162.033,0.0,441753.600
13-06 17:43:23,1164083200.0,167936.0,2649149440.0,140783616.0,62.980,1.956,35.005,0.0,0.0,0.059,28.600,96.600,0.0,431308.800
13-06 17:44:23,1163096064.0,167936.0,2649153536.0,141766656.0,80.828,3.165,15.974,0.0,0.0,0.034,10.0,18.200,0.0,441412.267
