"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","g02-01.lsd.di.uminho.pt",,,,"User:","admin"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-13_23:32:36.csv 60",,,,"Date:","13 Jun 2019 23:32:37 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
13-06 23:32:37,457678848.0,2138112.0,2757918720.0,755892224.0,2.118,0.023,97.849,0.008,0.0,0.002,0.0,0.0,420.843,4192.100
13-06 23:33:37,960237568.0,2138112.0,2784477184.0,226775040.0,74.358,1.739,23.744,0.008,0.0,0.150,27.400,0.0,0.0,446549.333
13-06 23:34:37,964624384.0,2138112.0,2784477184.0,222388224.0,80.159,1.313,18.419,0.008,0.0,0.100,28.200,2.600,0.0,2218.667
13-06 23:35:37,965140480.0,2138112.0,2784477184.0,221872128.0,80.907,1.349,17.635,0.034,0.0,0.075,28.200,2.200,0.0,1203.200
13-06 23:36:37,965201920.0,2138112.0,2784481280.0,221806592.0,82.054,1.287,16.591,0.008,0.0,0.059,26.0,0.0,0.0,1510.400
13-06 23:37:37,983134208.0,2138112.0,2810601472.0,177754112.0,66.475,0.835,32.632,0.008,0.0,0.050,32.400,7.800,0.0,5521.067
13-06 23:38:37,984403968.0,2138112.0,2810601472.0,176484352.0,82.191,1.197,16.545,0.008,0.0,0.059,28.200,2.200,0.0,438263.467
13-06 23:39:37,984272896.0,2138112.0,2810605568.0,176611328.0,82.302,1.212,16.427,0.0,0.0,0.059,26.0,0.0,0.0,1220.267
13-06 23:40:37,984399872.0,2138112.0,2810605568.0,176484352.0,82.138,1.339,16.464,0.017,0.0,0.042,28.200,2.200,0.0,588.800
13-06 23:41:37,992100352.0,2138112.0,2836377600.0,143011840.0,72.920,0.920,26.118,0.0,0.0,0.042,26.0,0.0,0.0,429926.400
13-06 23:42:37,1008807936.0,2138112.0,2797453312.0,165228544.0,62.746,0.601,36.586,0.008,0.0,0.058,27.400,0.0,0.0,699.733
13-06 23:43:37,1008807936.0,2138112.0,2797453312.0,165228544.0,82.193,1.280,16.477,0.0,0.0,0.050,26.0,0.0,0.0,442513.067
13-06 23:44:37,1008807936.0,2138112.0,2797453312.0,165228544.0,82.200,1.273,16.460,0.008,0.0,0.059,26.0,0.0,0.0,247.467
13-06 23:45:37,1008807936.0,2138112.0,2797453312.0,165228544.0,82.217,1.231,16.477,0.008,0.0,0.067,26.0,0.0,0.0,384.0
13-06 23:46:37,1008939008.0,2138112.0,2823225344.0,139325440.0,67.251,0.702,32.022,0.0,0.0,0.025,26.0,0.0,0.0,256.0
13-06 23:47:37,1022353408.0,2138112.0,2795118592.0,154017792.0,55.434,0.317,44.190,0.0,0.0,0.058,26.0,0.0,0.0,431334.400
13-06 23:48:37,1022287872.0,2138112.0,2795118592.0,154083328.0,82.155,1.287,16.499,0.008,0.0,0.050,26.0,0.0,0.0,440627.200
13-06 23:49:37,1024380928.0,2138112.0,2795122688.0,151986176.0,82.141,1.322,16.470,0.008,0.0,0.059,27.400,0.0,0.0,1493.333
13-06 23:50:37,1024380928.0,2138112.0,2795122688.0,151986176.0,82.132,1.306,16.503,0.0,0.0,0.059,27.400,0.0,0.0,588.800
13-06 23:51:37,1024004096.0,2138112.0,2820894720.0,126590976.0,74.365,0.997,24.587,0.008,0.0,0.042,28.200,2.200,0.0,430190.933
13-06 23:52:37,1024131072.0,2138112.0,2820894720.0,126464000.0,50.008,0.008,49.983,0.0,0.0,0.0,28.200,2.200,0.0,1544.533
13-06 23:53:37,1032687616.0,2138112.0,2780803072.0,157999104.0,67.079,0.794,32.085,0.0,0.0,0.042,26.0,0.0,0.0,443.733
13-06 23:54:37,1032691712.0,2138112.0,2780803072.0,157995008.0,82.223,1.298,16.428,0.008,0.0,0.042,26.0,0.0,0.0,441412.267
13-06 23:55:37,1032687616.0,2138112.0,2780807168.0,157995008.0,82.268,1.272,16.393,0.008,0.0,0.059,28.200,2.200,0.0,324.267
13-06 23:56:37,1032687616.0,2138112.0,2780807168.0,157995008.0,82.244,1.249,16.466,0.0,0.0,0.042,26.0,0.0,0.0,375.467
13-06 23:57:37,1032908800.0,2138112.0,2780811264.0,157769728.0,62.344,0.526,37.096,0.008,0.0,0.025,28.200,2.200,0.0,430139.733
13-06 23:58:37,1033052160.0,2138112.0,2780811264.0,157626368.0,50.008,0.008,49.975,0.0,0.0,0.008,26.0,0.0,0.0,2816.0
13-06 23:59:37,1043980288.0,2138112.0,2781061120.0,146448384.0,66.494,0.736,32.720,0.0,0.0,0.050,27.400,0.0,0.0,439560.533
14-06 00:00:37,1043980288.0,2138112.0,2781061120.0,146448384.0,82.261,1.206,16.474,0.008,0.0,0.050,26.0,0.0,0.0,1928.533
14-06 00:01:37,1044733952.0,2138112.0,2781069312.0,145686528.0,82.100,1.381,16.452,0.008,0.0,0.059,26.0,0.0,136.533,1015.467
14-06 00:02:37,1043419136.0,2138112.0,2781073408.0,146997248.0,82.140,1.340,16.461,0.008,0.0,0.050,26.0,0.0,2457.600,8448.0
14-06 00:03:37,1043591168.0,2138112.0,2783543296.0,144355328.0,63.073,0.568,36.317,0.017,0.0,0.025,26.0,0.0,41164.800,430276.267
