"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","g02-01.lsd.di.uminho.pt",,,,"User:","admin"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-11_12:28:40.csv 60",,,,"Date:","11 Jun 2019 12:28:41 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
11-06 12:28:41,217481216.0,2138112.0,1413169152.0,2340839424.0,0.159,0.006,99.829,0.007,0.0,0.000,0.0,0.0,275.140,556.886
11-06 12:29:41,742785024.0,2138112.0,1439731712.0,1788973056.0,85.032,0.817,14.043,0.0,0.0,0.108,29.600,2.200,0.0,447274.667
11-06 12:30:41,745582592.0,2138112.0,1439731712.0,1786175488.0,91.827,0.267,7.798,0.0,0.0,0.108,27.400,0.0,0.0,819.200
11-06 12:31:41,749727744.0,2138112.0,1439731712.0,1782030336.0,91.838,0.267,7.796,0.0,0.0,0.100,26.0,0.0,0.0,102.400
11-06 12:32:41,774209536.0,2138112.0,1465856000.0,1731424256.0,81.885,0.301,17.731,0.0,0.0,0.083,26.0,0.0,0.0,871739.733
11-06 12:33:41,774225920.0,2138112.0,1465856000.0,1731407872.0,91.907,0.258,7.735,0.008,0.0,0.092,26.0,0.0,0.0,3464.533
11-06 12:34:41,777924608.0,2138112.0,1465856000.0,1727709184.0,91.923,0.259,7.727,0.0,0.0,0.092,26.0,0.0,0.0,102.400
11-06 12:35:41,799813632.0,2138112.0,1491881984.0,1679794176.0,74.608,0.267,25.050,0.0,0.0,0.075,26.0,0.0,0.0,4676.267
11-06 12:36:41,800739328.0,2138112.0,1491881984.0,1678868480.0,91.929,0.258,7.721,0.0,0.0,0.092,26.0,0.0,0.0,437341.867
11-06 12:37:41,802779136.0,2138112.0,1491881984.0,1676828672.0,91.263,0.292,8.337,0.0,0.0,0.108,26.0,0.0,0.0,1083.733
11-06 12:38:41,807243776.0,2138112.0,1517654016.0,1646592000.0,83.146,0.300,16.421,0.008,0.0,0.125,28.200,2.200,0.0,429841.067
11-06 12:39:41,816570368.0,2138112.0,1517907968.0,1637011456.0,73.100,0.250,26.567,0.008,0.0,0.075,26.700,2.200,0.0,439662.933
11-06 12:40:41,816570368.0,2138112.0,1517907968.0,1637011456.0,91.168,0.301,8.448,0.0,0.0,0.084,26.0,0.0,0.0,2244.267
11-06 12:41:41,816959488.0,2138112.0,1517907968.0,1636622336.0,88.957,0.327,10.633,0.008,0.0,0.075,26.0,0.0,0.0,102.400
11-06 12:42:41,816721920.0,2138112.0,1543684096.0,1611083776.0,76.956,0.234,22.718,0.0,0.0,0.092,32.400,7.800,0.0,430182.400
11-06 12:43:41,829771776.0,2138112.0,1543933952.0,1597784064.0,72.504,0.310,27.077,0.017,0.0,0.092,28.200,2.200,0.0,441497.600
11-06 12:44:41,831741952.0,2138112.0,1543933952.0,1595813888.0,90.307,0.292,9.250,0.008,0.0,0.142,27.400,0.0,0.0,2278.400
11-06 12:45:41,834789376.0,2138112.0,1543933952.0,1592766464.0,91.382,0.300,8.168,0.017,0.0,0.133,26.0,0.0,0.0,102.400
11-06 12:46:41,835477504.0,2138112.0,1543933952.0,1592078336.0,73.062,0.200,26.671,0.0,0.0,0.067,29.600,2.200,0.0,221.867
