test,used,usr,read,writ,acc,time
e1-b128,1299.68 +/- 292.43,63.46 +/- 39.74,1301.83 +/- 2849.91,329.00 +/- 207.48,0.80 +/- 0.01,78.10 +/- 1.31
e1-b256,1314.65 +/- 291.82,66.05 +/- 40.09,143.98 +/- 212.78,527.45 +/- 400.51,0.74 +/- 0.03,69.40 +/- 8.04
e1-b512,1165.64 +/- 264.10,60.37 +/- 40.36,168.99 +/- 218.05,462.44 +/- 397.27,0.58 +/- 0.01,58.10 +/- 2.87
e1-b1024,1057.73 +/- 55.89,36.83 +/- 30.98,276.44 +/- 211.10,191.71 +/- 139.18,0.47 +/- 0.03,54.10 +/- 1.75
e5-b128,1552.23 +/- 192.49,91.61 +/- 22.13,32.64 +/- 107.82,395.41 +/- 278.46,0.89 +/- 0.00,474.38 +/- 11.39
e5-b256,1541.41 +/- 206.96,91.13 +/- 21.39,34.18 +/- 100.32,350.30 +/- 167.48,0.88 +/- 0.01,378.42 +/- 3.87
e5-b512,1540.17 +/- 224.69,90.36 +/- 21.14,37.01 +/- 96.53,434.31 +/- 141.53,0.81 +/- 0.05,326.19 +/- 6.48
e5-b1024,1568.47 +/- 240.53,90.36 +/- 20.41,36.06 +/- 91.45,485.61 +/- 205.73,0.78 +/- 0.04,301.68 +/- 6.41
e10-b128,1650.64 +/- 145.74,97.17 +/- 10.88,9.63 +/- 47.03,408.10 +/- 173.42,0.90 +/- 0.00,1166.28 +/- 28.69
e10-b256,1641.48 +/- 159.44,96.91 +/- 10.47,10.39 +/- 43.09,440.19 +/- 175.68,0.88 +/- 0.03,892.28 +/- 12.06
e10-b512,1655.00 +/- 173.53,96.74 +/- 10.19,11.09 +/- 40.62,431.22 +/- 176.88,0.87 +/- 0.04,752.80 +/- 11.11
e10-b1024,1680.77 +/- 185.50,96.59 +/- 9.74,10.75 +/- 38.25,443.82 +/- 168.27,0.88 +/- 0.01,691.71 +/- 4.24
