"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","g02-01.lsd.di.uminho.pt",,,,"User:","admin"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-11_16:36:04.csv 60",,,,"Date:","11 Jun 2019 16:36:05 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
11-06 16:36:05,249724928.0,2138112.0,2074222592.0,1647542272.0,0.521,0.008,99.464,0.007,0.0,0.000,0.0,0.0,273.643,1377.440
11-06 16:37:05,746582016.0,2138112.0,2100793344.0,1124114432.0,74.922,1.735,23.192,0.017,0.0,0.134,191.200,282.100,0.0,457267.200
11-06 16:38:05,750903296.0,2138112.0,2100793344.0,1119793152.0,81.178,1.309,17.354,0.017,0.0,0.143,26.0,0.0,0.0,1646.933
11-06 16:39:05,757329920.0,2138112.0,2100793344.0,1113366528.0,82.015,1.239,16.738,0.0,0.0,0.008,26.0,0.0,0.0,1058.133
11-06 16:40:05,757583872.0,2138112.0,2100797440.0,1113108480.0,80.666,1.337,17.904,0.025,0.0,0.067,26.0,0.0,0.0,375.467
11-06 16:41:05,757710848.0,2138112.0,2100797440.0,1112981504.0,82.421,1.297,16.240,0.0,0.0,0.042,30.400,4.800,0.0,332.800
11-06 16:42:05,761339904.0,2138112.0,2100797440.0,1109352448.0,82.361,1.299,16.298,0.0,0.0,0.042,26.0,0.0,0.0,802.133
11-06 16:43:05,761466880.0,2138112.0,2100797440.0,1109225472.0,82.398,1.288,16.247,0.008,0.0,0.059,26.0,0.0,0.0,452.267
11-06 16:44:05,761466880.0,2138112.0,2100797440.0,1109225472.0,82.274,1.297,16.396,0.0,0.0,0.033,27.400,0.0,0.0,256.0
