test,used,usr,read,writ,acc,time
e1-b128,998.46 +/- 18.21,19.92 +/- 10.48,1222.56 +/- 171.00,38.20 +/- 4.20,0.94 +/- 0.00,4.39 +/- 0.10
e1-b256,1005.80 +/- 16.99,20.55 +/- 10.36,1487.79 +/- 520.70,38.08 +/- 3.94,0.93 +/- 0.00,4.25 +/- 0.84
e1-b512,1009.62 +/- 15.05,21.28 +/- 10.09,1469.11 +/- 504.44,43.36 +/- 7.04,0.92 +/- 0.00,3.28 +/- 0.13
e1-b1024,1013.19 +/- 17.65,21.89 +/- 9.91,1453.54 +/- 491.87,42.94 +/- 6.79,0.90 +/- 0.00,2.85 +/- 0.19
e5-b128,1012.60 +/- 17.11,22.40 +/- 9.81,1440.91 +/- 483.41,42.61 +/- 6.63,0.97 +/- 0.00,16.33 +/- 0.57
e5-b256,1013.65 +/- 18.62,24.25 +/- 9.43,1399.36 +/- 454.31,41.84 +/- 6.36,0.97 +/- 0.00,11.90 +/- 0.33
e5-b512,1009.87 +/- 18.00,25.56 +/- 9.24,1370.37 +/- 436.56,41.12 +/- 6.08,0.96 +/- 0.00,9.99 +/- 0.12
e5-b1024,1011.43 +/- 17.99,26.65 +/- 9.09,1345.91 +/- 421.42,40.60 +/- 5.84,0.95 +/- 0.00,8.52 +/- 0.04
e10-b128,1011.41 +/- 16.99,27.59 +/- 8.98,1325.00 +/- 408.64,40.07 +/- 5.63,0.98 +/- 0.00,30.39 +/- 0.12
e10-b256,1011.43 +/- 18.47,30.29 +/- 8.73,1267.29 +/- 374.25,38.71 +/- 5.05,0.98 +/- 0.00,22.57 +/- 0.24
e10-b512,1011.69 +/- 19.48,32.17 +/- 8.58,1226.79 +/- 351.05,37.70 +/- 4.79,0.97 +/- 0.00,18.41 +/- 0.20
e10-b1024,1012.74 +/- 19.08,33.66 +/- 8.47,1195.05 +/- 333.38,36.95 +/- 4.56,0.97 +/- 0.00,15.49 +/- 0.12
