"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","g02-01.lsd.di.uminho.pt",,,,"User:","admin"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-13_23:14:04.csv 60",,,,"Date:","13 Jun 2019 23:14:04 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
13-06 23:14:04,458391552.0,2138112.0,2767183872.0,745914368.0,2.087,0.023,97.881,0.008,0.0,0.002,0.0,0.0,421.004,4121.345
13-06 23:15:05,980135936.0,2138112.0,2793746432.0,197607424.0,85.015,0.817,14.043,0.008,0.0,0.117,26.0,0.0,0.0,446370.133
13-06 23:16:05,981172224.0,2138112.0,2793746432.0,196571136.0,91.791,0.300,7.800,0.0,0.0,0.108,26.0,0.0,0.0,2986.667
13-06 23:17:05,981299200.0,2138112.0,2793746432.0,196444160.0,91.790,0.284,7.809,0.0,0.0,0.117,28.200,2.200,0.0,102.400
13-06 23:18:05,1013137408.0,2138112.0,2819870720.0,138481664.0,81.557,0.342,18.001,0.0,0.0,0.100,28.200,2.200,0.0,442214.400
13-06 23:19:05,1013264384.0,2138112.0,2819870720.0,138354688.0,91.834,0.300,7.774,0.008,0.0,0.083,26.0,0.0,0.0,3234.133
13-06 23:20:05,1013248000.0,2138112.0,2819870720.0,138371072.0,91.832,0.275,7.792,0.0,0.0,0.100,26.0,0.0,0.0,102.400
13-06 23:21:05,1029451776.0,2138112.0,2811871232.0,130166784.0,74.204,0.267,25.429,0.0,0.0,0.100,28.200,2.200,0.0,4633.600
13-06 23:22:05,1029451776.0,2138112.0,2811871232.0,130166784.0,91.806,0.300,7.810,0.008,0.0,0.075,27.400,0.0,0.0,437922.133
13-06 23:23:05,1029578752.0,2138112.0,2811871232.0,130039808.0,91.896,0.267,7.812,0.0,0.0,0.025,26.0,0.0,0.0,537.600
13-06 23:24:05,1035583488.0,2138112.0,2795835392.0,140070912.0,82.840,0.250,16.818,0.0,0.0,0.092,29.600,2.200,0.0,102.400
13-06 23:25:05,1055219712.0,2138112.0,2762874880.0,153395200.0,75.674,0.275,23.976,0.0,0.0,0.075,26.0,0.0,0.0,866867.200
13-06 23:26:05,1055219712.0,2138112.0,2762874880.0,153395200.0,89.866,0.300,9.709,0.008,0.0,0.117,26.0,0.0,0.0,2466.133
13-06 23:27:05,1055219712.0,2138112.0,2762874880.0,153395200.0,89.212,0.310,10.344,0.008,0.0,0.126,27.400,0.0,0.0,102.400
13-06 23:28:05,1055346688.0,2138112.0,2788651008.0,127492096.0,74.739,0.242,24.952,0.008,0.0,0.058,26.0,0.0,0.0,187.733
13-06 23:29:05,1079087104.0,2138112.0,2757902336.0,134500352.0,75.490,0.444,23.992,0.0,0.0,0.075,26.0,0.0,0.0,870161.067
13-06 23:30:05,1081106432.0,2138112.0,2757914624.0,132468736.0,91.630,0.719,7.576,0.008,0.0,0.067,165.133,173.767,0.0,2901.333
13-06 23:31:05,1080852480.0,2138112.0,2757914624.0,132722688.0,91.537,0.301,8.095,0.0,0.0,0.067,26.0,0.0,0.0,3370.667
13-06 23:32:05,1080864768.0,2138112.0,2757914624.0,132710400.0,75.167,0.251,24.557,0.0,0.0,0.025,26.0,0.0,0.0,230.400
