"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","rafaelbraga25"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-13_17:26:13.csv 60",,,,"Date:","13 Jun 2019 17:26:14 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
13-06 17:26:14,1021390848.0,2203648.0,2073567232.0,5084860416.0,47.732,2.491,49.708,0.053,0.0,0.016,0.0,0.0,320466.097,253560.358
13-06 17:27:14,1536401408.0,2203648.0,2100133888.0,4543283200.0,99.101,0.899,0.0,0.0,0.0,0.0,4.0,0.0,0.0,878796.800
13-06 17:28:14,1561223168.0,2203648.0,2126258176.0,4492337152.0,99.717,0.283,0.0,0.0,0.0,0.0,31.050,0.0,0.0,445380.267
13-06 17:29:14,1574350848.0,2203648.0,2152275968.0,4453191680.0,99.100,0.850,0.033,0.0,0.0,0.017,4.0,0.0,0.0,441992.533
13-06 17:30:14,1575329792.0,2203648.0,2178048000.0,4426440704.0,99.533,0.467,0.0,0.0,0.0,0.0,36.0,0.0,0.0,433228.800
13-06 17:31:14,1586012160.0,2203648.0,2178306048.0,4415500288.0,99.183,0.817,0.0,0.0,0.0,0.0,21.0,0.0,0.0,441301.333
13-06 17:32:14,1598832640.0,2203648.0,2204327936.0,4376657920.0,98.850,1.150,0.0,0.0,0.0,0.0,5.0,0.0,0.0,432494.933
13-06 17:33:14,1600143360.0,2203648.0,2204315648.0,4375359488.0,99.750,0.233,0.0,0.0,0.0,0.017,30.300,0.0,0.0,441915.733
13-06 17:34:14,1610592256.0,2203648.0,2204585984.0,4364640256.0,99.617,0.367,0.017,0.0,0.0,0.0,6.0,0.0,0.0,433186.133
13-06 17:35:14,1613352960.0,2203648.0,2204585984.0,4361879552.0,99.650,0.350,0.0,0.0,0.0,0.0,25.0,0.0,0.0,440925.867
13-06 17:36:14,1623687168.0,2203648.0,2204835840.0,4351295488.0,99.483,0.500,0.0,0.0,0.0,0.017,6.0,0.0,0.0,431752.533
13-06 17:37:14,1626038272.0,2203648.0,2204868608.0,4348911616.0,98.149,1.851,0.0,0.0,0.0,0.0,25.0,0.0,0.0,447505.067
13-06 17:38:14,1637486592.0,2203648.0,2205118464.0,4337213440.0,99.750,0.250,0.0,0.0,0.0,0.0,7.0,0.0,0.0,434662.400
13-06 17:39:14,1640120320.0,2203648.0,2205118464.0,4334579712.0,99.617,0.383,0.0,0.0,0.0,0.0,24.0,0.0,0.0,441062.400
13-06 17:40:14,1640329216.0,2203648.0,2205126656.0,4334362624.0,99.667,0.317,0.0,0.0,0.0,0.017,11.050,0.0,0.0,431692.800
13-06 17:41:14,1649168384.0,2203648.0,2205384704.0,4325265408.0,99.767,0.233,0.0,0.0,0.0,0.0,24.0,0.0,0.0,443136.0
13-06 17:42:14,1655115776.0,2203648.0,2205388800.0,4319313920.0,99.817,0.167,0.0,0.0,0.0,0.017,7.0,0.0,0.0,433587.200
13-06 17:43:14,1666191360.0,2203648.0,2205646848.0,4307980288.0,99.800,0.200,0.0,0.0,0.0,0.0,24.0,0.0,0.0,2653.867
13-06 17:44:14,1666248704.0,2203648.0,2205650944.0,4307918848.0,99.850,0.150,0.0,0.0,0.0,0.0,8.0,0.0,0.0,441898.667
