test,used,usr,read,writ,acc,time
e1-b128,792.39 +/- 326.11,52.37 +/- 22.97,749.85 +/- 1056.37,1891.15 +/- 2844.26,0.92 +/- 0.00,58.09 +/- 6.55
e1-b256,663.63 +/- 204.24,49.73 +/- 23.83,486.10 +/- 689.63,2127.93 +/- 3034.10,0.89 +/- 0.00,50.70 +/- 5.94
e1-b512,515.04 +/- 7.37,45.54 +/- 23.10,605.51 +/- 678.03,2649.31 +/- 2989.32,0.83 +/- 0.00,42.59 +/- 2.17
e1-b1024,515.26 +/- 7.01,46.82 +/- 21.09,571.63 +/- 624.22,2500.65 +/- 2752.82,0.72 +/- 0.00,34.83 +/- 0.95
e5-b128,901.05 +/- 201.31,65.77 +/- 11.98,114.06 +/- 312.96,477.32 +/- 1380.59,0.98 +/- 0.00,254.26 +/- 0.76
e5-b256,897.97 +/- 232.07,65.16 +/- 9.76,108.75 +/- 264.18,474.42 +/- 1154.29,0.96 +/- 0.00,194.27 +/- 2.77
e5-b512,929.12 +/- 250.23,67.75 +/- 9.48,104.20 +/- 221.57,415.48 +/- 976.52,0.94 +/- 0.00,201.48 +/- 9.66
e5-b1024,891.76 +/- 282.80,63.35 +/- 7.42,113.84 +/- 221.05,494.65 +/- 959.27,0.91 +/- 0.00,149.19 +/- 9.73
e10-b128,988.41 +/- 183.50,68.84 +/- 4.97,39.42 +/- 123.69,159.41 +/- 536.24,0.98 +/- 0.00,491.48 +/- 41.96
e10-b256,976.25 +/- 211.69,68.13 +/- 4.43,40.92 +/- 113.28,177.99 +/- 491.06,0.98 +/- 0.00,349.40 +/- 17.27
e10-b512,1027.73 +/- 212.36,71.28 +/- 4.90,31.30 +/- 91.40,136.09 +/- 396.14,0.97 +/- 0.00,390.90 +/- 29.25
e10-b1024,981.16 +/- 243.67,67.94 +/- 3.80,41.64 +/- 94.87,178.60 +/- 411.96,0.94 +/- 0.00,269.12 +/- 6.53
