"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","barreira"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-11_14:50:12.csv 60",,,,"Date:","11 Jun 2019 14:50:12 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
11-06 14:50:12,589402112.0,2154496.0,2210115584.0,1152512000.0,33.229,2.049,64.596,0.035,0.0,0.091,0.0,0.0,94319.713,833915.669
11-06 14:51:12,1134759936.0,2154496.0,2236669952.0,580599808.0,79.468,3.302,17.154,0.0,0.0,0.075,0.0,0.0,0.0,448375.467
11-06 14:52:12,1626570752.0,2154496.0,2185179136.0,140279808.0,75.781,3.300,20.811,0.008,0.0,0.100,0.0,0.0,0.0,6510.933
11-06 14:53:12,1628700672.0,2154496.0,2185183232.0,138145792.0,81.830,3.044,15.077,0.0,0.0,0.050,0.0,0.0,0.0,443434.667
11-06 14:54:12,1650102272.0,2154496.0,2172678144.0,129249280.0,72.137,2.608,25.188,0.008,0.0,0.059,0.0,0.0,0.0,440814.933
11-06 14:55:12,1650712576.0,2154496.0,2160340992.0,140976128.0,80.496,3.131,16.332,0.0,0.0,0.042,0.0,0.0,0.0,4838.400
11-06 14:56:12,1663152128.0,2154496.0,2144505856.0,144371712.0,69.643,2.184,28.105,0.0,0.0,0.067,0.0,0.0,0.0,871594.667
11-06 14:57:12,1663836160.0,2154496.0,2170281984.0,117911552.0,76.680,2.672,20.606,0.008,0.0,0.034,0.0,0.0,0.0,1006.933
11-06 14:58:12,1671688192.0,757760.0,2117509120.0,164229120.0,68.842,2.390,28.667,0.017,0.0,0.084,0.0,0.0,0.0,442094.933
11-06 14:59:12,1676455936.0,757760.0,2117517312.0,159453184.0,77.054,3.124,19.755,0.033,0.0,0.033,0.0,0.0,0.0,2739.200
