"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","g02-01.lsd.di.uminho.pt",,,,"User:","admin"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-11_17:06:12.csv 60",,,,"Date:","11 Jun 2019 17:06:13 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
"time","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","recv","send","read","writ"
11-06 17:06:13,252805120.0,2138112.0,2283958272.0,1434726400.0,0.576,0.009,99.408,0.007,0.0,0.001,0.0,0.0,273.462,1445.141
11-06 17:07:13,753942528.0,2138112.0,2310520832.0,907026432.0,76.521,1.671,21.725,0.0,0.0,0.084,26.0,0.0,0.0,876689.067
11-06 17:08:13,756232192.0,2138112.0,2310520832.0,904736768.0,82.021,1.307,16.647,0.008,0.0,0.017,26.0,0.0,0.0,3985.067
11-06 17:09:13,758657024.0,2138112.0,2310520832.0,902311936.0,82.088,1.307,16.605,0.0,0.0,0.0,27.400,0.0,0.0,187.733
11-06 17:10:13,759943168.0,2138112.0,2310524928.0,901021696.0,82.047,1.304,16.590,0.008,0.0,0.050,33.800,7.800,0.0,546.133
11-06 17:11:13,759943168.0,2138112.0,2310524928.0,901021696.0,82.248,1.212,16.481,0.0,0.0,0.059,27.400,0.0,0.0,1297.067
11-06 17:12:13,761597952.0,2138112.0,2310524928.0,899366912.0,82.179,1.238,16.524,0.008,0.0,0.050,26.0,0.0,0.0,896.0
11-06 17:13:13,761597952.0,2138112.0,2310524928.0,899366912.0,82.243,1.222,16.485,0.0,0.0,0.050,26.0,0.0,0.0,384.0
11-06 17:14:13,761724928.0,2138112.0,2310524928.0,899239936.0,82.187,1.196,16.550,0.0,0.0,0.067,26.0,0.0,0.0,529.067
11-06 17:15:13,783544320.0,2138112.0,2336645120.0,851300352.0,55.303,0.317,44.329,0.008,0.0,0.042,29.700,3.700,0.0,431564.800
11-06 17:16:13,783654912.0,2138112.0,2336645120.0,851189760.0,82.144,1.246,16.551,0.0,0.0,0.059,26.0,0.0,0.0,443187.200
11-06 17:17:13,783777792.0,2138112.0,2336649216.0,851062784.0,82.095,1.272,16.566,0.008,0.0,0.059,26.0,0.0,0.0,1638.400
11-06 17:18:13,784924672.0,2138112.0,2336649216.0,849915904.0,82.138,1.256,16.531,0.0,0.0,0.075,26.0,0.0,0.0,861.867
11-06 17:19:13,784719872.0,2138112.0,2336649216.0,850120704.0,82.177,1.247,16.509,0.008,0.0,0.059,26.0,0.0,0.0,179.200
11-06 17:20:13,784736256.0,2138112.0,2336649216.0,850104320.0,82.275,1.247,16.428,0.0,0.0,0.050,28.200,2.200,0.0,819.200
11-06 17:21:13,786837504.0,2138112.0,2336649216.0,848003072.0,82.129,1.239,16.598,0.0,0.0,0.033,26.0,0.0,0.0,256.0
11-06 17:22:13,790970368.0,2138112.0,2336649216.0,843870208.0,82.208,1.239,16.503,0.008,0.0,0.042,28.200,2.200,0.0,657.067
11-06 17:23:13,791580672.0,2138112.0,2362421248.0,817487872.0,71.999,0.878,27.081,0.0,0.0,0.042,27.400,0.0,0.0,430190.933
11-06 17:24:13,791707648.0,2138112.0,2362421248.0,817360896.0,50.004,0.008,49.979,0.0,0.0,0.008,26.0,0.0,0.0,1536.0
11-06 17:25:13,803819520.0,2138112.0,2362671104.0,804999168.0,73.825,1.064,25.061,0.008,0.0,0.042,26.0,0.0,0.0,439594.667
11-06 17:26:13,803688448.0,2138112.0,2362675200.0,805126144.0,82.090,1.280,16.589,0.0,0.0,0.042,26.0,0.0,0.0,1715.200
11-06 17:27:13,803815424.0,2138112.0,2362675200.0,804999168.0,82.033,1.338,16.579,0.008,0.0,0.042,26.0,0.0,0.0,324.267
11-06 17:28:13,805916672.0,2138112.0,2362675200.0,802897920.0,82.046,1.324,16.580,0.008,0.0,0.042,26.0,0.0,0.0,648.533
11-06 17:29:13,808013824.0,2138112.0,2362675200.0,800800768.0,82.005,1.373,16.580,0.0,0.0,0.042,26.0,0.0,0.0,622.933
11-06 17:30:13,807956480.0,2138112.0,2362675200.0,800858112.0,82.256,1.238,16.464,0.008,0.0,0.033,26.0,0.0,0.0,520.533
11-06 17:31:13,808083456.0,2138112.0,2362675200.0,800731136.0,82.108,1.289,16.561,0.0,0.0,0.042,28.800,0.0,0.0,657.067
11-06 17:32:13,808083456.0,2138112.0,2362675200.0,800731136.0,82.040,1.324,16.577,0.008,0.0,0.050,27.500,0.700,0.0,187.733
11-06 17:33:13,807034880.0,2138112.0,2388451328.0,776003584.0,52.916,0.159,46.917,0.0,0.0,0.008,28.900,3.700,0.0,430464.0
11-06 17:34:13,807034880.0,2138112.0,2388451328.0,776003584.0,50.004,0.008,49.979,0.0,0.0,0.008,26.0,0.0,0.0,938.667
11-06 17:35:13,816582656.0,2138112.0,2388705280.0,766201856.0,69.163,0.894,29.893,0.0,0.0,0.050,32.400,7.800,0.0,439850.667
11-06 17:36:13,818823168.0,2138112.0,2388705280.0,763961344.0,82.097,1.256,16.589,0.008,0.0,0.050,27.400,0.0,0.0,4010.667
11-06 17:37:13,820789248.0,2138112.0,2388709376.0,761991168.0,82.126,1.248,16.576,0.0,0.0,0.050,28.200,2.200,0.0,529.067
11-06 17:38:13,820854784.0,2138112.0,2388709376.0,761925632.0,82.095,1.306,16.548,0.008,0.0,0.042,26.0,0.0,0.0,964.267
11-06 17:39:13,820854784.0,2138112.0,2388709376.0,761925632.0,82.079,1.248,16.623,0.0,0.0,0.050,26.0,0.0,0.0,256.0
11-06 17:40:13,820981760.0,2138112.0,2388709376.0,761798656.0,82.100,1.297,16.561,0.0,0.0,0.042,28.200,2.200,0.0,657.067
11-06 17:41:13,820981760.0,2138112.0,2388709376.0,761798656.0,82.130,1.297,16.523,0.008,0.0,0.042,26.0,0.0,0.0,452.267
11-06 17:42:13,820981760.0,2138112.0,2388709376.0,761798656.0,82.166,1.264,16.503,0.008,0.0,0.059,26.0,0.0,0.0,793.600
11-06 17:43:13,819335168.0,2138112.0,2414481408.0,737673216.0,57.641,0.309,42.033,0.0,0.0,0.017,26.0,0.0,0.0,429943.467
11-06 17:44:13,821305344.0,2138112.0,2414481408.0,735703040.0,49.996,0.008,49.971,0.0,0.0,0.025,26.0,0.0,0.0,2039.467
11-06 17:45:13,821559296.0,2138112.0,2414481408.0,735449088.0,50.0,0.008,49.983,0.0,0.0,0.008,26.0,0.0,0.0,102.400
11-06 17:46:13,828903424.0,2138112.0,2414735360.0,727851008.0,71.953,0.886,27.119,0.0,0.0,0.042,26.0,0.0,0.0,439628.800
11-06 17:47:13,828903424.0,2138112.0,2414735360.0,727851008.0,82.181,1.339,16.438,0.0,0.0,0.042,27.400,0.0,0.0,2346.667
11-06 17:48:13,828960768.0,2138112.0,2414735360.0,727793664.0,82.097,1.290,16.555,0.008,0.0,0.050,26.0,0.0,0.0,204.800
11-06 17:49:13,829026304.0,2138112.0,2414739456.0,727724032.0,82.093,1.288,16.569,0.0,0.0,0.050,26.0,0.0,0.0,793.600
11-06 17:50:13,831127552.0,2138112.0,2414739456.0,725622784.0,82.104,1.314,16.531,0.008,0.0,0.042,30.400,4.400,0.0,341.333
11-06 17:51:13,830984192.0,2138112.0,2414739456.0,725766144.0,82.182,1.257,16.519,0.0,0.0,0.042,26.0,0.0,0.0,870.400
11-06 17:52:13,831893504.0,2138112.0,2414739456.0,724856832.0,82.168,1.264,16.526,0.008,0.0,0.033,26.0,0.0,0.0,384.0
11-06 17:53:13,831959040.0,2138112.0,2414739456.0,724791296.0,82.227,1.280,16.451,0.0,0.0,0.042,26.0,0.0,0.0,256.0
11-06 17:54:13,833392640.0,2138112.0,2414739456.0,723357696.0,54.558,0.234,45.200,0.0,0.0,0.008,27.400,0.0,0.0,431300.267
11-06 17:55:13,833519616.0,2138112.0,2414739456.0,723230720.0,50.004,0.008,49.979,0.0,0.0,0.008,28.200,2.200,0.0,1237.333
11-06 17:56:13,833519616.0,2138112.0,2414739456.0,723230720.0,50.0,0.008,49.983,0.0,0.0,0.008,26.0,0.0,0.0,102.400
