test,used,usr,read,writ,acc,time
e1-b128,582.67 +/- 28.17,16.11 +/- 1.74,194.60 +/- 190.04,144.04 +/- 138.03,0.60 +/- 0.07,17.45 +/- 0.83
e1-b256,582.88 +/- 27.35,16.26 +/- 1.61,193.18 +/- 187.85,143.00 +/- 136.42,0.58 +/- 0.02,17.61 +/- 0.87
e1-b512,582.87 +/- 27.22,16.40 +/- 1.48,191.87 +/- 185.84,142.05 +/- 134.96,0.56 +/- 0.14,20.31 +/- 1.21
e1-b1024,582.20 +/- 26.80,16.59 +/- 1.33,190.38 +/- 183.57,140.98 +/- 133.32,0.67 +/- 0.06,23.75 +/- 1.29
e5-b128,697.67 +/- 128.81,31.30 +/- 15.88,94.36 +/- 154.27,72.02 +/- 111.49,0.60 +/- 0.05,70.85 +/- 3.66
e5-b256,698.06 +/- 128.79,31.22 +/- 15.27,91.96 +/- 149.05,70.08 +/- 107.84,0.51 +/- 0.08,70.56 +/- 2.01
e5-b512,697.39 +/- 127.73,31.26 +/- 14.83,89.74 +/- 144.29,67.99 +/- 104.73,0.60 +/- 0.03,72.63 +/- 2.25
e5-b1024,693.84 +/- 124.91,31.43 +/- 14.53,87.59 +/- 139.71,66.70 +/- 101.20,0.58 +/- 0.02,78.02 +/- 3.67
e10-b128,731.22 +/- 113.73,36.70 +/- 13.54,56.94 +/- 115.01,43.50 +/- 83.86,0.75 +/- 0.08,144.61 +/- 8.10
e10-b256,738.19 +/- 119.51,36.71 +/- 13.01,54.46 +/- 108.56,41.87 +/- 79.06,0.53 +/- 0.02,141.20 +/- 7.40
e10-b512,736.02 +/- 117.87,36.31 +/- 12.23,52.30 +/- 103.01,39.99 +/- 75.20,0.62 +/- 0.10,137.99 +/- 6.98
e10-b1024,733.21 +/- 116.55,36.74 +/- 12.13,50.34 +/- 98.04,39.32 +/- 71.14,0.63 +/- 0.04,145.35 +/- 8.55
